,week_day,route_id,start_time,travel_time,month_day,stop_id
185,1,2,51985,194,7,1
186,1,0,52022,214,7,1
187,1,1,52360,72,7,1
188,1,2,52561,121,7,1
189,1,1,52623,127,7,1
190,1,0,52802,110,7,1
191,1,2,53643,196,7,1
192,1,0,53686,200,7,1
193,1,1,53743,216,7,1
194,1,2,53893,152,7,1
195,1,0,53983,155,7,1
196,1,1,54247,108,7,1
197,1,2,54338,106,7,1
198,1,0,54443,205,7,1
199,1,1,54546,164,7,1
200,1,0,54633,148,7,1
201,1,1,54812,98,7,1
202,1,2,54999,133,7,1
203,1,0,55189,100,7,1
204,1,2,55664,129,7,1
205,1,1,55819,120,7,1
206,1,2,56262,170,7,1
207,1,0,56313,193,7,1
208,1,1,56819,132,7,1
209,1,2,57031,121,7,1
210,1,0,57117,127,7,1
211,1,1,57163,190,7,1
212,1,0,57574,127,7,1
213,1,1,57676,94,7,1
214,1,2,58052,116,7,1
215,1,0,58110,156,7,1
216,1,2,58234,99,7,1
217,1,1,58314,154,7,1
218,1,0,58781,101,7,1
219,1,2,59196,137,7,1
220,1,1,59262,113,7,1
221,1,0,59298,158,7,1
222,1,2,59344,149,7,1
223,1,1,59769,148,7,1
224,1,0,60101,100,7,1
225,1,1,60245,94,7,1
226,1,0,60323,121,7,1
227,1,2,60398,152,7,1
228,1,0,60672,120,7,1
229,1,2,60763,130,7,1
230,1,1,60891,131,7,1
231,1,0,61431,122,7,1
232,1,2,61700,148,7,1
233,1,0,61777,122,7,1
234,1,1,61898,122,7,1
235,1,2,62268,123,7,1
236,1,0,62421,120,7,1
237,1,1,62466,216,7,1
238,1,2,62522,200,7,1
239,1,0,63051,163,7,1
240,1,2,63561,167,7,1
241,1,0,63758,125,7,1
242,1,2,64197,121,7,1
243,1,0,64252,139,7,1
244,1,1,64315,130,7,1
245,1,0,64381,125,7,1
246,1,2,64482,88,7,1
247,1,1,64543,90,7,1
248,1,0,65054,94,7,1
249,1,1,65130,112,7,1
250,1,2,65348,145,7,1
251,1,0,65649,113,7,1
252,1,1,65718,108,7,1
253,1,2,65823,144,7,1
254,1,0,66278,136,7,1
255,1,1,66444,122,7,1
256,1,2,66587,126,7,1
257,1,1,67020,87,7,1
258,1,2,67050,121,7,1
259,1,0,67106,117,7,1
260,1,2,67467,166,7,1
261,1,0,67524,224,7,1
262,1,1,67648,210,7,1
263,1,2,68141,146,7,1
264,1,1,68317,81,7,1
265,1,0,68573,105,7,1
266,1,2,68647,156,7,1
267,1,0,68946,120,7,1
268,1,1,69002,130,7,1
269,1,0,69119,152,7,1
270,1,1,69400,79,7,1
271,1,0,69603,93,7,1
272,1,1,70024,122,7,1
273,1,0,70072,137,7,1
274,1,2,70418,151,7,1
275,1,1,70546,133,7,1
276,1,0,70592,129,7,1
277,1,2,70914,116,7,1
278,1,2,71194,126,7,1
279,1,1,71274,139,7,1
280,1,0,71426,143,7,1
281,1,2,71801,132,7,1
282,1,0,71866,123,7,1
283,1,1,71952,91,7,1
284,1,2,71998,106,7,1
285,1,0,72327,123,7,1
286,1,1,72662,130,7,1
287,1,0,72828,119,7,1
288,1,1,73090,79,7,1
289,1,2,73378,171,7,1
290,1,2,73441,160,7,1
291,1,0,73596,117,7,1
292,1,2,73815,120,7,1
293,1,0,73865,294,7,1
294,1,1,73932,362,7,1
295,1,0,74268,128,7,1
296,1,2,74382,136,7,1
297,1,0,74853,129,7,1
298,1,1,74947,124,7,1
299,1,2,75011,132,7,1
300,1,0,75218,137,7,1
301,1,1,75383,103,7,1
302,1,0,75796,122,7,1
303,1,2,75951,128,7,1
304,1,1,76009,148,7,1
305,1,0,76378,121,7,1
306,1,2,76456,117,7,1
307,1,1,76540,124,7,1
308,1,0,76652,107,7,1
309,1,1,76779,68,7,1
310,1,2,77067,167,7,1
311,1,0,77471,123,7,1
312,1,1,77541,137,7,1
313,1,2,77634,179,7,1
314,1,1,77721,167,7,1
315,1,0,78344,115,7,1
316,1,1,78421,128,7,1
317,1,2,78484,157,7,1
318,1,0,78647,123,7,1
319,1,0,79006,132,7,1
320,1,1,79057,136,7,1
321,1,2,79161,166,7,1
322,1,2,79370,138,7,1
323,1,0,79415,143,7,1
324,1,2,79860,100,7,1
325,1,0,80049,96,7,1
326,1,2,80713,131,7,1
327,1,0,80862,106,7,1
328,1,1,80956,203,7,1
329,1,1,81122,171,7,1
330,1,0,81255,107,7,1
331,1,2,81428,107,7,1
332,1,1,81494,119,7,1
333,1,0,81730,135,7,1
334,1,1,81902,123,7,1
335,1,0,82116,122,7,1
336,1,1,82272,96,7,1
337,1,2,82330,93,7,1
338,1,2,83125,102,7,1
339,1,0,83192,126,7,1
340,1,2,83450,105,7,1
341,1,1,83964,140,7,1
342,1,0,84096,126,7,1
343,1,2,84240,88,7,1
344,1,1,84891,117,7,1
345,1,0,85372,140,7,1
346,1,2,85600,194,7,1
347,1,2,85658,215,7,1
348,1,1,85719,257,7,1
349,1,0,85959,120,7,1
350,1,1,36,107,7,1
351,1,0,95,115,7,1
352,1,2,220,335,7,1
353,1,0,473,212,7,1
354,1,1,765,117,7,1
355,1,2,816,143,7,1
356,1,0,938,110,7,1
357,1,2,1418,147,7,1
358,1,0,1470,158,7,1
359,1,1,1779,106,7,1
360,1,2,1857,98,7,1
361,1,0,1905,127,7,1
362,1,1,2290,142,7,1
363,1,0,2446,301,7,1
364,1,2,2985,132,7,1
365,1,0,3055,104,7,1
366,1,2,3255,149,7,1
367,1,1,3299,154,7,1
368,1,2,3877,154,7,1
369,1,0,4220,158,7,1
370,1,0,4266,151,7,1
371,1,1,4343,186,7,1
372,1,2,4395,212,7,1
373,1,1,4760,104,7,1
374,1,0,4829,112,7,1
375,1,2,5176,96,7,1
376,1,1,5387,160,7,1
377,1,0,5484,123,7,1
378,1,1,5887,109,7,1
379,1,0,6024,101,7,1
380,1,2,6149,155,7,1
381,1,1,6597,182,7,1
382,1,0,6640,198,7,1
383,1,1,7068,106,7,1
384,1,2,7147,109,7,1
385,1,0,7218,131,7,1
386,1,2,7661,136,7,1
387,1,1,7864,116,7,1
388,1,0,7907,112,7,1
389,1,1,8438,99,7,1
390,1,0,8484,94,7,1
391,1,2,8547,97,7,1
392,1,1,8826,92,7,1
393,1,1,9044,98,7,1
394,1,0,9126,122,7,1
395,1,2,9455,117,7,1
396,1,1,9678,96,7,1
397,1,0,10279,137,7,1
398,1,2,10408,121,7,1
399,1,0,10602,93,7,1
400,1,1,10839,128,7,1
401,1,2,10889,223,7,1
402,1,0,11445,122,7,1
403,1,1,11686,138,7,1
404,1,2,11780,141,7,1
405,1,1,11944,100,7,1
406,1,0,12103,121,7,1
407,1,1,12498,100,7,1
408,1,2,12820,131,7,1
409,1,0,12889,136,7,1
410,1,1,13405,107,7,1
411,1,0,13524,148,7,1
412,1,1,13672,100,7,1
413,1,0,13876,123,7,1
414,1,2,14132,117,7,1
415,1,1,14567,145,7,1
416,1,0,14613,125,7,1
417,1,2,15091,91,7,1
418,1,1,15320,121,7,1
419,1,0,15423,101,7,1
420,1,1,15686,117,7,1
421,1,0,16303,178,7,1
422,1,1,16360,170,7,1
423,1,2,16415,171,7,1
424,1,1,16931,137,7,1
425,1,0,17086,92,7,1
426,1,1,17296,98,7,1
427,1,0,17347,137,7,1
428,1,1,37464,61,7,2
429,1,2,38155,67,7,2
430,1,2,38238,56,7,2
431,1,0,38379,58,7,2
432,1,1,38646,75,7,2
433,1,2,38733,66,7,2
434,1,0,38816,65,7,2
435,1,1,38967,70,7,2
436,1,1,39241,65,7,2
437,1,2,39468,63,7,2
438,1,0,39582,58,7,2
439,1,1,39758,55,7,2
440,1,3,39815,60,7,2
441,1,2,40146,59,7,2
442,1,2,40292,53,7,2
443,1,0,40647,65,7,2
444,1,1,40720,65,7,2
445,1,0,41004,56,7,2
446,1,3,41085,59,7,2
447,1,2,41184,69,7,2
448,1,3,41341,71,7,2
449,1,2,41388,143,7,2
450,1,3,41487,108,7,2
451,1,0,41826,71,7,2
452,1,1,41943,60,7,2
453,1,3,42115,58,7,2
454,1,1,42189,79,7,2
455,1,1,42265,68,7,2
456,1,0,42316,70,7,2
457,1,2,42416,63,7,2
458,1,3,42507,76,7,2
459,1,2,42654,66,7,2
460,1,0,42879,51,7,2
461,1,3,42962,59,7,2
462,1,1,43017,66,7,2
463,1,0,43608,57,7,2
464,1,2,43691,62,7,2
465,1,3,43741,85,7,2
466,1,1,43797,128,7,2
